Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet	Height	Manufacturer_Name	Manufacturer_Part_Number	Mouser Part Number	Mouser Price/Stock	Arrow Part Number	Arrow Price/Stock
1		C	C1 C2	100nF	C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	2	 	~							
2		LED	D1 D2 D3 D4 D5 D6 D7 D8 D9 D10	LED	LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder	10	 	~							
3		M74HC4060YRM13TR	IC1	M74HC4060YRM13TR	SOIC-16_3.9x9.9mm_P1.27mm	1	 	http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000318.pdf	1.75	STMicroelectronics	M74HC4060YRM13TR	511-M74HC4060YRM13TR	https://www.mouser.co.uk/ProductDetail/STMicroelectronics/M74HC4060YRM13TR?qs=WHlX%252B%252B9%2FRwCg7B6Sv1P5yw%3D%3D	M74HC4060YRM13TR	https://www.arrow.com/en/products/m74hc4060yrm13tr/stmicroelectronics
4		Conn_01x02_Pin	J1	Conn_01x02_Pin	PinHeader_1x02_P2.54mm_Vertical	1	 	~							
5		R	R1 R2 R3 R4 R5 R6 R7 R8 R9 R10	390R	R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	10	 	~							
6		R	R12	56k	R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	 	~							
7		R	R11	120k	R_1206_3216Metric_Pad1.30x1.75mm_HandSolder	1	 	~							





Project info:
Schematic:	Dino-Blinker
Variant:	default
Revision:	
Date:	2024-12-11_00-15-44
KiCad Version:	8.0.6+1
Statistics:
Component Groups:	7
Component Count:	26 (25 SMD/ 1 THT)
Fitted Components:	26 (25 SMD/ 1 THT)
Number of PCBs:	1
Total Components:	26
